field_name,live_endpoint,frl_grains,decision_status,reason
aerialDuels,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
aerialDuelsLost,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
aerialDuelsWon,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
appearances,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
blockedShots,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
blocks,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
cleanSheets,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
cornersWon,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
duels,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
duelsLost,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
duelsWon,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
gamesPlayed,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
goals,,player_match | player_season,MIXED_GRAIN_REVIEW,FRL contains player_season plus other grains; semantic equivalence remains unresolved.
goalsConceded,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
goalsConcededInsideBox,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
goalsConcededOutsideBox,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
interceptions,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
offsides,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
openPlayPasses,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
penaltiesTaken,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
penaltyGoals,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
penaltyGoalsConceded,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
shotsBlockedInBox,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
shotsBlockedOutsideBox,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
shotsOffTargetIncWoodwork,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
shotsOnTargetInBox,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
shotsOnTargetIncGoals,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
shotsOnTargetOutsideBox,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
starts,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulCrossesAndCorners,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulCrossesOpenPlay,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulDribbles,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulLaunches,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulLayoffs,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulLongPasses,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulPassesOppositionHalf,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulPassesOwnHalf,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
successfulShortPasses,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
tacklesLost,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
tacklesWon,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
touches,,player_match | player_season | team_match,MIXED_GRAIN_REVIEW,FRL contains player_season plus other grains; semantic equivalence remains unresolved.
unsuccessfulCrossesAndCorners,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulCrossesOpenPlay,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulDribbles,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulLaunches,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulLayoffs,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulLongPasses,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulPassesOwnHalf,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
unsuccessfulShortPasses,,player_season,PLAYER_SEASON_EQUIVALENT_REVIEW,FRL evidence is already exclusively player_season; verify metric semantics/provenance before treating as equivalent.
