field_name,source_surface,resource,grain,decomposition_basis,field_type,player_link,fixture_link,club_link,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note
accurateCross,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateOppositionHalfPasses,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
accurateOwnHalfPasses,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
accuratePass,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialLost,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialWon,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
ballCarriesCount,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
ballRecovery,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
bigChanceCreated,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
bigChanceMissed,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
blockedScoringAttempt,FRL_LOCAL_CSV,player_match,player_match,pre-existing specific grain,unknown,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,player_fixture,OBSERVATION,player_identity_to_player_match_observations,TRUE,Player-match observations require verified player and fixture identity.
