field_name,source_surface,resource,grain,player_link,fixture_link,club_link,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note
accurateCross,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateKeeperSweeper,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accurateLongBalls,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
accuratePass,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialLost,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
aerialWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
ballRecovery,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
bigChanceCreated,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
bigChanceMissed,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
challengeLost,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
clearanceOffLine,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
dispossessed,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
duelLost,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
duelWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
expectedAssists,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
expectedGoals,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
expectedGoalsOnTarget,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
gameweek,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
goalAssist,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
goals,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,player_season,ENTITY,source_player_identity_to_player_season,TRUE,Player-season rows require season-aware source-player identity.
goodHighClaim,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
hitWoodwork,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
interceptionWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
matchId,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
outfielderBlock,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
ownGoals,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
penaltyConceded,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
penaltyFaced,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,team_fixture,OBSERVATION,canonical_team_season_to_source_team,TRUE,Team-match source statistics attach through the verified team-fixture relationship.
