field_name,decision_status,final_status,reason
aerialDuels,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
aerialDuelsLost,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
aerialDuelsWon,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
appearances,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
blockedShots,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
blocks,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
cleanSheets,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
cornersWon,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
duels,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
duelsLost,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
duelsWon,PLAYER_SEASON_EQUIVALENT_REVIEW,PLAYER_SEASON_CAPABILITY_CONFIRMED,Live analytical candidate reviewed at player-season grain; mixed-grain audit returned no cases.
