field_name,frl_grains,semantic_status,reason
aerialDuels,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
aerialDuelsLost,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
aerialDuelsWon,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
appearances,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
blockedShots,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
blocks,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
cleanSheets,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
cornersWon,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
duels,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
duelsLost,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
duelsWon,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
gamesPlayed,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
goals,player_match | player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
goalsConceded,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
goalsConcededInsideBox,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
goalsConcededOutsideBox,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
interceptions,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
offsides,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
openPlayPasses,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
penaltiesTaken,player_season,PLAYER_SEASON_GRAIN_MATCH_REVIEW,Exact field exists at player-season grain; semantics still require explicit equivalence review.
