field_name,family,source_grain,live_status,prior_team_season_delta,fixture_semantic_status,source_relationship_status,team_grain_status,capability_class,basis
aerialDuels,Duels & Aerials,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SOURCE_RELATIONSHIP_VERIFIED_REDUNDANT,Source-side arithmetic identity tested exactly across all cached observations discovered by the full audit.
aerialDuelsLost,Duels & Aerials,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
aerialDuelsWon,Duels & Aerials,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
attemptsFromSetPieces,Shooting,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
blockedShots,Shooting,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
blocks,Defending,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
cleanSheets,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
clearancesOffTheLine,Defending,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
cornersTakenInclShortCorners,Corners,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
cornersWon,Corners,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
crossingAccuracy,Crossing & Set Pieces,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
duels,Duels & Aerials,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SOURCE_RELATIONSHIP_VERIFIED_REDUNDANT,Source-side arithmetic identity tested exactly across all cached observations discovered by the full audit.
duelsLost,Duels & Aerials,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
duelsWon,Duels & Aerials,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
expectedAssists,Review,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
expectedGoals,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
expectedGoalsFreekick,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
expectedGoalsOnTarget,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
expectedGoalsOnTargetConceded,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
gamesPlayed,Review,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
goals,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
goalsConceded,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SOURCE_RELATIONSHIP_VERIFIED_REDUNDANT,Source-side arithmetic identity tested exactly across all cached observations discovered by the full audit.
goalsConcededInsideBox,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
goalsConcededOutsideBox,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
interceptions,Defending,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
offsides,Discipline & Offside,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
openPlayPasses,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
penaltiesConceded,Defending,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
penaltiesSaved,Review,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
penaltyGoals,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
penaltyGoalsConceded,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
pointsDroppedFromWinningPositions,Finishing & Goals,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
pointsGainedFromLosingPositions,Finishing & Goals,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
possessionPercentage,Possession,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
shotsOffTargetIncWoodwork,Shooting,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
shotsOnConcededInsideBox,Shooting,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
shotsOnConcededOutsideBox,Shooting,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
shotsOnTargetIncGoals,Finishing & Goals,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
successfulCornersIntoBox,Crossing & Set Pieces,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulCrossesAndCorners,Crossing & Set Pieces,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulCrossesOpenPlay,Crossing & Set Pieces,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulDribbles,Dribbling,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulLaunches,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulLayoffs,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulLongPasses,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulOpenPlayPasses,Passing & Territory,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
successfulPassesOppositionHalf,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulPassesOwnHalf,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
successfulShortPasses,Passing & Territory,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
tackleSuccess,Defending,team_season_candidate,NEW_SOURCE_CAPABILITY,NEW_TEAM_SEASON_CAPABILITY,,,,REVIEW,Evidence is insufficient for a stronger classification.
tacklesLost,Defending,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
tacklesWon,Defending,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,,,CONCEPTUAL_FIXTURE_REVIEW,A semantic counterpart was proposed but is not exposed by the current fixture_match_stats schema.
touchesInOppBox,Shooting,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,,,TEAM_MATCH_NOT_EQUIVALENT,TEAM_MATCH_ONLY_REVIEW,"Existing FRL evidence is Team-Match, not Team-Season; aggregation/definition equivalence remains open."
unsuccessfulCornersIntoBox,Crossing & Set Pieces,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
unsuccessfulCrossesAndCorners,Crossing & Set Pieces,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
unsuccessfulCrossesOpenPlay,Crossing & Set Pieces,team_season_candidate,EXISTING_FIELD,NEW_TEAM_SEASON_CAPABILITY,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,SPECIALIST_TEAM_SEASON_REVIEW,No conservative Team-Fixture counterpart was established in the current evidence layer.
