field_name,family,live_status,fixture_concept_status,fixture_concept_pattern,fixture_columns_found,aggregation_status,reason
aerialDuels,Duels & Aerials,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
aerialDuelsLost,Duels & Aerials,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
aerialDuelsWon,Duels & Aerials,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
attemptsFromSetPieces,Shooting,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
blockedShots,Shooting,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_blocked_shots,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
blocks,Defending,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
cleanSheets,Finishing & Goals,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
clearancesOffTheLine,Defending,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
cornersTakenInclShortCorners,Corners,EXISTING_FIELD,NO_OBVIOUS_TEAM_FIXTURE_EQUIVALENT,,,REVIEW_REQUIRED,No conservative semantic counterpart is declared in the existing fixture-match evidence vocabulary; requires specialist/source review.
cornersWon,Corners,EXISTING_FIELD,MAPPED_CONCEPT_NOT_PRESENT_IN_CURRENT_FILE,*_core_corners,,REVIEW_REQUIRED,"A semantic counterpart is recognised conceptually, but the current fixture_match_stats.csv schema does not expose matching columns."
