field_name,family,live_status,frl_grains,prior_semantic_status,team_grain_decision,team_season_delta,reason
aerialDuels,Duels & Aerials,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
aerialDuelsLost,Duels & Aerials,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
aerialDuelsWon,Duels & Aerials,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
attemptsFromSetPieces,Shooting,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
blockedShots,Shooting,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
blocks,Defending,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
cleanSheets,Finishing & Goals,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
clearancesOffTheLine,Defending,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
cornersTakenInclShortCorners,Corners,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
cornersWon,Corners,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
crossingAccuracy,Crossing & Set Pieces,NEW_SOURCE_CAPABILITY,,GENUINELY_NEW,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
duels,Duels & Aerials,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
duelsLost,Duels & Aerials,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
duelsWon,Duels & Aerials,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
expectedAssists,Review,EXISTING_FIELD,player_match | player_season | team_match,TEAM_GRAIN_MATCH_REVIEW,TEAM_MATCH_NOT_EQUIVALENT,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
expectedGoals,Finishing & Goals,EXISTING_FIELD,player_match | player_season | team_match,TEAM_GRAIN_MATCH_REVIEW,TEAM_MATCH_NOT_EQUIVALENT,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
expectedGoalsFreekick,Finishing & Goals,EXISTING_FIELD,player_season | team_match,TEAM_GRAIN_MATCH_REVIEW,TEAM_MATCH_NOT_EQUIVALENT,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
expectedGoalsOnTarget,Finishing & Goals,EXISTING_FIELD,player_match | player_season | team_match,TEAM_GRAIN_MATCH_REVIEW,TEAM_MATCH_NOT_EQUIVALENT,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
expectedGoalsOnTargetConceded,Finishing & Goals,EXISTING_FIELD,player_season | team_match,TEAM_GRAIN_MATCH_REVIEW,TEAM_MATCH_NOT_EQUIVALENT,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
gamesPlayed,Review,EXISTING_FIELD,player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
goals,Finishing & Goals,EXISTING_FIELD,player_match | player_season,NONTEAM_ONLY,,NEW_TEAM_SEASON_CAPABILITY,No explicit team_season FRL grain exists for this native concept; any existing representation is at another grain or absent.
